price,location,bed,bath,carport,surface_area,building_area
2500000000.0,"Depok, Sleman",3.0,2.0,1.0,123,150
495000000.0,"Imogiri              , Bantul",3.0,1.0,1.0,141,60
475000000.0,"Cebongan, Sleman",2.0,1.0,0.0,90,50
5500000000.0,"Gondokusuman, Yogyakarta",4.0,4.0,2.0,287,200
700000000.0,"Kalasan, Sleman",2.0,2.0,1.0,100,90
250000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,88,36
580000000.0,"Kalasan, Sleman",3.0,2.0,1.0,100,80
765000000.0,"Purwomartani   , Sleman",3.0,2.0,1.0,118,75
1880000000.0,"Kotagede, Yogyakarta",3.0,2.0,2.0,150,110
500000000.0,"Sewon, Bantul",3.0,1.0,0.0,97,55
278000000.0,"Sentolo, Kulon Progo",2.0,1.0,2.0,72,36
495000000.0,"Gamping, Sleman",2.0,1.0,1.0,107,36
495000000.0,"Gamping, Sleman",2.0,1.0,1.0,107,36
278000000.0,"Sentolo, Kulon Progo",2.0,1.0,2.0,72,36
900000000.0,"Kotagede, Yogyakarta",4.0,2.0,1.0,140,140
1950000000.0,"Kasihan, Bantul",3.0,2.0,2.0,168,130
897000000.0,"Ngemplak, Sleman",3.0,2.0,1.0,107,91
730000000.0,"Condong Catur, Sleman",3.0,2.0,2.0,100,80
513000000.0,"Playen, Gunung Kidul",2.0,1.0,1.0,79,76
1980000000.0,"Kalasan, Sleman",3.0,3.0,0.0,150,110
990000000.0,"Maguwoharjo, Yogyakarta",3.0,3.0,1.0,103,100
278000000.0,"Sentolo, Kulon Progo",2.0,1.0,2.0,71,36
600000000.0,"Ngaglik, Sleman",1.0,1.0,1.0,225,225
695000000.0,"Maguwoharjo, Yogyakarta",0.0,0.0,0.0,94,64
900000000.0,"Godean, Sleman",2.0,2.0,1.0,133,80
2360000000.0,"Sleman, Sleman",4.0,3.0,1.0,182,135
850000000.0,"Ngaglik, Sleman",2.0,2.0,1.0,106,62
600000000.0,"Kaliurang, Sleman",3.0,2.0,1.0,123,105
2600000000.0,"Mlati, Sleman",5.0,4.0,2.0,150,150
1700000000.0,"Mlati, Sleman",4.0,3.0,2.0,110,114
1970000000.0,"Ngaglik, Sleman",4.0,3.0,3.0,135,165
1750000000.0,"Mlati, Sleman",8.0,4.0,2.0,176,340
